date,Gold_Rum
2020-07-10,469.07
2020-07-13,451.14
2020-07-14,447.87
2020-07-15,396.42
2020-07-16,325.27
2020-07-17,449.1
2020-07-20,283.02
2020-07-21,480.5
2020-07-22,466.57
2020-07-23,537.6
2020-07-24,477.0
2020-07-27,427.29000000000008
2020-07-28,583.99
2020-07-29,476.8
2020-07-30,303.97
2020-07-31,419.34999999999997
2020-08-03,313.37
2020-08-04,414.16
2020-08-05,449.92
2020-08-06,395.55
2020-08-07,417.20000000000005
2020-08-10,383.01
2020-08-11,409.32000000000005
2020-08-12,585.75
2020-08-13,211.85
2020-08-14,370.12
2020-08-17,388.35
2020-08-18,439.15000000000003
2020-08-19,484.77
2020-08-20,237.01000000000002
2020-08-21,446.95
2020-08-24,395.37
2020-08-25,539.49
2020-08-26,605.25
2020-08-27,246.85
2020-08-28,525.01
2020-08-31,399.02
2020-09-01,561.30000000000007
2020-09-02,539.5
2020-09-03,362.62
2020-09-04,442.15000000000003
2020-09-08,355.4
2020-09-09,416.72
2020-09-10,549.55
2020-09-11,554.87
2020-09-14,380.35
2020-09-15,446.82
2020-09-16,373.15
2020-09-17,167.1
2020-09-18,446.65
2020-09-21,324.79
2020-09-22,335.39000000000004
2020-09-23,397.8
2020-09-24,270.0
2020-09-25,538.2
2020-09-28,400.92000000000007
2020-09-29,395.27000000000004
2020-09-30,629.55
2020-10-01,217.94
2020-10-02,421.32000000000005
2020-10-05,649.0
2020-10-06,649.86999999999989
2020-10-07,460.12
2020-10-08,424.90000000000003
2020-10-09,455.91999999999996
2020-10-12,415.25
2020-10-13,516.25
2020-10-14,780.6
2020-10-15,329.77
2020-10-16,515.52
2020-10-19,418.22
2020-10-20,385.71999999999997
2020-10-21,424.57000000000005
2020-10-22,358.67
2020-10-23,333.75
2020-10-26,550.94999999999993
2020-10-27,523.99
2020-10-28,441.85
2020-10-29,323.99
2020-10-30,393.72
2020-11-02,386.65
2020-11-03,328.02
2020-11-04,521.92000000000007
2020-11-05,342.2
2020-11-06,457.77
2020-11-09,394.9
2020-11-10,439.44000000000005
2020-11-11,423.2
2020-11-12,452.17
2020-11-13,484.40000000000003
2020-11-16,360.95
2020-11-17,619.84
2020-11-18,526.7
2020-11-19,463.45000000000005
2020-11-20,552.6
2020-11-23,383.15000000000003
2020-11-24,329.09000000000003
2020-11-25,408.42
2020-11-27,582.27
2020-11-28,9.0
2020-11-30,394.65000000000003
2020-12-01,490.14000000000004
2020-12-02,295.8
2020-12-03,300.82000000000005
2020-12-04,438.45
2020-12-07,502.67
2020-12-08,528.52
2020-12-09,526.6
2020-12-10,399.35
2020-12-11,517.45
2020-12-14,494.70000000000005
2020-12-15,545.80000000000018
2020-12-16,467.75
2020-12-17,437.1
2020-12-18,606.72
2020-12-21,315.7
2020-12-22,847.14999999999986
2020-12-23,392.04999999999995
2020-12-24,434.56000000000006
2020-12-26,464.01
2020-12-28,494.97
2020-12-29,726.45
2020-12-30,200.55
2020-12-31,462.12
2021-01-04,487.12
2021-01-05,392.12
2021-01-06,298.62
2021-01-07,346.3
2021-01-08,341.1
2021-01-11,335.29
2021-01-12,359.40000000000003
2021-01-13,407.65
2021-01-14,259.70000000000005
2021-01-15,309.95
2021-01-18,502.67
2021-01-19,353.97
2021-01-20,732.81999999999994
2021-01-21,330.00000000000006
2021-01-22,352.85
2021-01-25,443.91
2021-01-26,421.55
2021-01-27,305.75
2021-01-28,235.8
2021-01-29,460.57000000000005
2021-02-01,414.99
2021-02-02,308.07
2021-02-03,431.7
2021-02-04,269.15
2021-02-05,390.75000000000006
2021-02-08,509.39000000000004
2021-02-09,373.87000000000006
2021-02-10,502.57000000000005
2021-02-11,473.52000000000004
2021-02-12,273.0
2021-02-15,356.79
2021-02-16,216.17
2021-02-17,573.6
2021-02-18,959.05
2021-02-19,358.7
2021-02-22,273.22
2021-02-23,257.17
2021-02-24,562.65
2021-02-25,310.1
2021-02-26,503.47
2021-03-01,332.17
2021-03-02,276.2
2021-03-03,465.24
2021-03-04,225.87
2021-03-05,499.74
2021-03-08,444.42
2021-03-09,349.17
2021-03-10,358.1
2021-03-11,251.75
2021-03-12,369.05
2021-03-15,247.67000000000002
2021-03-16,269.9
2021-03-17,361.3
2021-03-18,232.20000000000002
2021-03-19,425.22000000000008
2021-03-22,318.65000000000003
2021-03-23,405.42
2021-03-24,392.65000000000003
2021-03-25,370.47
2021-03-26,440.09999999999997
2021-03-29,236.65
2021-03-30,313.25
2021-03-31,302.1
2021-04-01,460.22
2021-04-02,382.6
2021-04-05,366.4
2021-04-06,370.9
2021-04-07,518.82
2021-04-08,409.45
2021-04-09,352.41999999999996
2021-04-11,6.75
2021-04-12,394.07
2021-04-13,454.52000000000004
2021-04-14,355.05
2021-04-15,278.72
2021-04-16,397.85
2021-04-19,420.72
2021-04-20,313.5
2021-04-21,450.37000000000006
2021-04-22,556.95
2021-04-23,429.64
2021-04-26,465.57
2021-04-27,351.15000000000003
2021-04-28,521.5
2021-04-29,312.95
2021-04-30,415.85
2021-05-03,335.46000000000004
2021-05-04,284.25000000000006
2021-05-05,388.44
2021-05-06,323.3
2021-05-07,453.52
2021-05-10,262.22
2021-05-11,275.5
2021-05-12,425.1
2021-05-13,311.87
2021-05-14,477.90000000000003
2021-05-15,0.05
2021-05-17,232.79999999999998
2021-05-18,500.52
2021-05-19,456.52
2021-05-20,394.92
